method,n_qubits,run,budget,shots_used,iterations,energy,ground_energy,relative_gap
gCANS,6,6,50000,49680,69,-0.2576546084204893,-0.6884943015589988,0.6257708918765681
gCANS,6,6,100000,99360,138,-0.49290390471249723,-0.6884943015589988,0.2840842638836873
gCANS,6,7,5000,4320,6,0.0295414364896135,-0.6884943015589988,1.0429073071813681
gCANS,6,7,10000,9360,13,-0.009250919724725328,-0.6884943015589988,0.9865635493223721
gCANS,6,7,20000,19440,27,-0.08048784215248997,-0.6884943015589988,0.883095848476543
gCANS,6,7,50000,49680,69,-0.4309993418364796,-0.6884943015589988,0.37399722719484824
gCANS,6,7,100000,99360,138,-0.6138777111355385,-0.6884943015589988,0.1083764822083517
gCANS,6,8,5000,4320,6,-0.0024215620535187705,-0.6884943015589988,0.9964828146753931
gCANS,6,8,10000,9360,13,-0.023990758478801433,-0.6884943015589988,0.9651547464888559
gCANS,6,8,20000,19440,27,-0.06028906166912475,-0.6884943015589988,0.9124334630909673
gCANS,6,8,50000,49680,69,-0.278790721337423,-0.6884943015589988,0.5950718535997459
gCANS,6,8,100000,99360,138,-0.6322840522713083,-0.6884943015589988,0.08164228688663108
gCANS,6,9,5000,4320,6,-0.07636539960873004,-0.6884943015589988,0.8890834689033573
gCANS,6,9,10000,9360,13,-0.08935966474557593,-0.6884943015589988,0.8702100154740083
gCANS,6,9,20000,19486,27,-0.11353765984163422,-0.6884943015589988,0.8350928111030925
gCANS,6,9,50000,49284,64,-0.1751941953854358,-0.6884943015589988,0.7455400938123481
gCANS,6,9,100000,99318,130,-0.36342125157416866,-0.6884943015589988,0.47215067611852096
gCANS,7,0,5000,4200,5,-0.0089649400359501,-0.5499388054378248,0.983698295251573
gCANS,7,0,10000,9240,11,-0.015562290959857158,-0.5499388054378248,0.971701776986864
gCANS,7,0,20000,19320,23,-0.03942132679188789,-0.5499388054378248,0.9283168847113757
gCANS,7,0,50000,49470,57,-0.10408908110269732,-0.5499388054378248,0.8107260661123404
gCANS,7,0,100000,99940,116,-0.23683899677603265,-0.5499388054378248,0.5693357252949678
gCANS,7,1,5000,4200,5,-0.01733005438696197,-0.5499388054378248,0.9684873040134621
gCANS,7,1,10000,9240,11,-0.027960081073434194,-0.5499388054378248,0.9491578321133854
gCANS,7,1,20000,19320,23,-0.04390294293865514,-0.5499388054378248,0.9201675850030213
gCANS,7,1,50000,49560,59,-0.09595347752281463,-0.5499388054378248,0.825519718605013
gCANS,7,1,100000,99276,118,-0.16014970922290822,-0.5499388054378248,0.7087863092414298
gCANS,7,2,5000,4200,5,-0.059159301834574164,-0.5499388054378248,0.8924256640018784
gCANS,7,2,10000,9240,11,-0.0774028446412348,-0.5499388054378248,0.8592518951638414
gCANS,7,2,20000,19320,23,-0.12011135642336576,-0.5499388054378248,0.7815914148343449
gCANS,7,2,50000,49560,59,-0.1910310735531377,-0.5499388054378248,0.6526321262216594
gCANS,7,2,100000,100000,116,-0.23983493339442682,-0.5499388054378248,0.5638879616733244
gCANS,7,3,5000,4200,5,0.08718711293246173,-0.5499388054378248,1.158539663086785
gCANS,7,3,10000,9240,11,0.07411224973475458,-0.5499388054378248,1.134764539257693
gCANS,7,3,20000,19320,23,0.041917889138964055,-0.5499388054378248,1.076222824656994
gCANS,7,3,50000,49560,59,-0.0289438003263484,-0.5499388054378248,0.9473690526288553
gCANS,7,3,100000,99960,119,-0.15072159231124235,-0.5499388054378248,0.725930247473175
gCANS,7,4,5000,4200,5,-0.03555662683444695,-0.5499388054378248,0.9353443938073454
gCANS,7,4,10000,9240,11,-0.04649835273694602,-0.5499388054378248,0.915448132997403
gCANS,7,4,20000,19320,23,-0.06987889428039441,-0.5499388054378248,0.8729333271458058
gCANS,7,4,50000,49560,59,-0.1332921775186033,-0.5499388054378248,0.7576236188452187
gCANS,7,4,100000,99478,118,-0.2289289948973343,-0.5499388054378248,0.5837191472329795
gCANS,7,5,5000,4200,5,-0.05140520054636337,-0.5499388054378248,0.9065255987792351
gCANS,7,5,10000,9240,11,-0.0693585589139006,-0.5499388054378248,0.8738794967220364
gCANS,7,5,20000,19320,23,-0.09975616144549464,-0.5499388054378248,0.8186049784828779
gCANS,7,5,50000,49560,59,-0.18297359637010813,-0.5499388054378248,0.6672837149136317
gCANS,7,5,100000,99960,119,-0.28395697654472174,-0.5499388054378248,0.483657138327138
gCANS,7,6,5000,4200,5,-0.032154774669739095,-0.5499388054378248,0.941530267819272
gCANS,7,6,10000,9240,11,-0.05110492683167702,-0.5499388054378248,0.9070716117387085
gCANS,7,6,20000,19320,23,-0.08721791043863178,-0.5499388054378248,0.8414043352165435
gCANS,7,6,50000,49560,59,-0.1631853856728596,-0.5499388054378248,0.7032662833404851
gCANS,7,6,100000,99982,119,-0.24789600054156663,-0.5499388054378248,0.5492298450475626
gCANS,7,7,5000,4200,5,-0.02503046166480779,-0.5499388054378248,0.9544850055727924
gCANS,7,7,10000,9240,11,-0.028701394900503517,-0.5499388054378248,0.9478098388098775
gCANS,7,7,20000,19030,22,-0.03636654044096031,-0.5499388054378248,0.9338716597531107
gCANS,7,7,50000,49584,46,-0.05834756191623996,-0.5499388054378248,0.8939017189925568
